,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Label Noise,0% Noise,Logistic Regression,Shifted Test,0.011387828572521972,0.0006645058626997614,0.00024220913635922983,1.6925425050959752e-05,0.0965360838960645,0.0001563338123444143,0.2477063010303208,0.0,0.46068922366848924,0.0005628948900892177,0.45210742260350617,0.0,0.15079548188449812,0.0001272486298827368,0.2477227732526549,0.0,0.4561660211712442,0.0,0.25179534999378345,0.0008021506217902408,0.01175929379584732,0.0004095536581643656,0.315333753824234,0.0002823321025572314
Label Noise,10% Noise,LightGBM,In-domain Test,0.06523029806411342,0.0020009813906284573,0.005646983586723931,0.00023954799748940304,0.1235743708308073,0.0008862562942706803,0.24807746849500822,0.0,0.4876533922193757,0.0002575527300094263,0.45615331819861676,0.0,0.1291772848534858,0.0006294962523220862,0.24807746865637373,0.0,0.4561660211712442,0.0,0.03624705958268073,0.002892176105116992,0.0010265796127155084,0.0009306155628498312,0.2854825556278229,0.00048521362708237297
Label Noise,10% Noise,LightGBM,Shifted Test,0.06639417116893943,0.00024964957905090917,0.005501189703071747,8.595638299084342e-06,0.1267059056249752,4.4024102615289445e-05,0.2477063010303208,0.0,0.47061672422970063,0.00023377786572871304,0.45210742260350617,0.0,0.12539156456821396,5.0847229915271266e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.036156906626880515,0.0013950434190751078,0.0007919930374238468,0.0005844529725806853,0.2858618001143138,0.00015317540877130773
Label Noise,10% Noise,Logistic Regression,In-domain Test,0.05738337372262201,0.002027007764525452,0.005197936421931239,0.00011800735443042424,0.08919407285766597,0.00031545366383761833,0.24807746849500822,0.0,0.49133731814450216,0.00038321963627397987,0.45615331819861676,0.0,0.16324730549849897,0.00014245308765353557,0.24807746865637373,0.0,0.4561660211712442,0.0,0.07113316790736146,0.0006337906518617145,0.0,0.0,0.24172250429789224,0.0004907618323125151
Label Noise,10% Noise,Logistic Regression,Shifted Test,0.05984327599175467,0.0007423317966343783,0.004990675503668121,0.00010484672439180559,0.09367145300324871,0.00012447629360848355,0.2477063010303208,0.0,0.4744375522978186,0.0002588782414533638,0.45210742260350617,0.0,0.15807281778418866,9.020316232932026e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.07923162998881014,0.0018234351603299977,2.486634340420241e-06,2.1534885087266908e-06,0.2444702386856079,0.0005920629795258842
Label Noise,20% Noise,LightGBM,In-domain Test,0.12786007406192956,0.0011567318241086733,0.020613646732329714,0.00026441982396096706,0.12197877491469071,0.0008018968874715167,0.24807746849500822,0.0,0.4943451168193779,0.00021453459454311564,0.45615331819861676,0.0,0.14525073547310283,0.0006161106060849936,0.24807746865637373,0.0,0.4561660211712442,0.0,0.00021118209175861888,0.0001154011320117206,5.86616921551719e-06,1.0160503127072239e-05,0.21312373876571655,0.0007074107870564274
Label Noise,20% Noise,LightGBM,Shifted Test,0.13198048428235495,0.00023436480410760427,0.02107297856677341,0.00016631806284043995,0.1249430407932019,0.00012541996946936778,0.2477063010303208,0.0,0.4817908801906989,0.00020538859847095203,0.45210742260350617,0.0,0.14212196610280547,0.00032064303717609083,0.2477227732526549,0.0,0.4561660211712442,0.0,0.00019022752704214846,5.0181365337835545e-05,1.2433171702101205e-06,2.1534885087266908e-06,0.21344282726446787,0.0007202664428532503
Label Noise,20% Noise,Logistic Regression,In-domain Test,0.10574809367303917,0.0007448197363159125,0.016548926400099844,7.265258509549253e-05,0.08738557874855775,0.0002124809617827707,0.24807746849500822,0.0,0.49625416712242104,0.0003652497995816909,0.45615331819861676,0.0,0.1756811909047181,0.0002638720228879672,0.24807746865637373,0.0,0.4561660211712442,0.0,0.0008740592131120615,0.00010006935049323905,0.0,0.0,0.17807802557945251,0.000523412320247431
Label Noise,20% Noise,Logistic Regression,Shifted Test,0.11260102101405856,0.0009594968780278636,0.017279102383025,0.00014532318200302703,0.09215472984627027,7.786968325737361e-05,0.2477063010303208,0.0,0.4839823337105207,0.00018505035485363608,0.45210742260350617,0.0,0.1714041009155607,0.0001220813824081876,0.2477227732526549,0.0,0.4561660211712442,0.0,0.0011276886733805793,0.00013325553026943157,0.0,0.0,0.18034986158212027,0.00040356668543583185
Label Noise,5% Noise,LightGBM,In-domain Test,0.036155654637721024,0.0011385635700164414,0.0017707342287292666,0.00011446267591504165,0.1241447450276275,0.0008186477306764167,0.24807746849500822,0.0,0.48265096933385226,0.0002460826546220131,0.45615331819861676,0.0,0.12496039796906161,0.000672916741428518,0.24807746865637373,0.0,0.4561660211712442,0.0,0.234605705436179,0.003118115881299547,0.0501968099771806,0.0017230667591615373,0.32262272636095685,0.00045958932382758063
Label Noise,5% Noise,LightGBM,Shifted Test,0.034105028286713475,0.0004439726342372636,0.0014432906885017492,4.189259491042525e-05,0.12750772445544364,4.724273069408988e-05,0.2477063010303208,0.0,0.46334817310453885,6.882015927350993e-05,0.45210742260350617,0.0,0.12084065365836262,3.139929878912391e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.2530225040407808,0.0017240380329173251,0.04570558249409424,0.0010788805492140416,0.32334484656651813,0.0005248050344431626
Label Noise,5% Noise,Logistic Regression,In-domain Test,0.032967827713069595,0.0003313298702697914,0.002006063533319967,3.659606467972952e-05,0.08993542036002018,0.0003030801821294951,0.24807746849500822,0.0,0.48761438218554026,0.0004738301901572458,0.45615331819861676,0.0,0.1593987945483959,0.00019104578310999375,0.24807746865637373,0.0,0.4561660211712442,0.0,0.1573834538831107,0.0012105931416447554,0.00030504079920689394,7.112352188950565e-05,0.27503209312756854,0.00024371860638144508
Label Noise,5% Noise,Logistic Regression,Shifted Test,0.03171132017768458,0.0005103277620910071,0.001480097728057478,3.05678698873649e-05,0.09459212528587942,1.584937266733916e-05,0.2477063010303208,0.0,0.4682652201702388,0.00018471683919739937,0.45210742260350617,0.0,0.15391097866381676,3.17812426380845e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.17032699241576524,0.000959992231825543,0.0002561233370632848,3.5254126268203e-05,0.27780573566754657,0.00043481452765252085
