Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,Logistic Regression,43,In-domain Test,3,2803,0.35137158961879583,0.31180877631109527
Baseline,None,Logistic Regression,43,In-domain Test,4,3803,0.453120646768578,0.3941625032868788
Baseline,None,Logistic Regression,43,In-domain Test,5,5210,0.5519732056446588,0.5328214971209213
Baseline,None,Logistic Regression,43,In-domain Test,6,7134,0.652435010267233,0.637089991589571
Baseline,None,Logistic Regression,43,In-domain Test,7,10200,0.7528020371292151,0.7332352941176471
Baseline,None,Logistic Regression,43,In-domain Test,8,8974,0.8452941213348594,0.7934031646980165
Baseline,None,Logistic Regression,43,In-domain Test,9,700,0.9115669295617512,0.8785714285714286
Baseline,None,Logistic Regression,43,Shifted Test,0,67333,0.024236088661496742,0.01835652651745801
Baseline,None,Logistic Regression,43,Shifted Test,1,12628,0.14844342045448214,0.1427779537535635
Baseline,None,Logistic Regression,43,Shifted Test,2,12362,0.2504705183028384,0.2565927843391037
Baseline,None,Logistic Regression,43,Shifted Test,3,14275,0.3515384918044202,0.3454290718038529
Baseline,None,Logistic Regression,43,Shifted Test,4,18613,0.4530356697906692,0.41814860581314134
Baseline,None,Logistic Regression,43,Shifted Test,5,24761,0.55162032887073,0.542465974718307
Baseline,None,Logistic Regression,43,Shifted Test,6,31303,0.6522400273445167,0.6595853432578347
Baseline,None,Logistic Regression,43,Shifted Test,7,43730,0.7524959296662775,0.7490738623370684
Baseline,None,Logistic Regression,43,Shifted Test,8,39860,0.8450016564166671,0.8146512794781736
Baseline,None,Logistic Regression,43,Shifted Test,9,3235,0.9114536894344288,0.9202472952086553
Baseline,None,Logistic Regression,44,In-domain Test,0,13269,0.024241234585248263,0.013263998794181928
Baseline,None,Logistic Regression,44,In-domain Test,1,2366,0.14816498133532596,0.12595097210481826
Baseline,None,Logistic Regression,44,In-domain Test,2,2353,0.2506687660775588,0.2269443263918402
Baseline,None,Logistic Regression,44,In-domain Test,3,2785,0.352322583363343,0.3490125673249551
Baseline,None,Logistic Regression,44,In-domain Test,4,3717,0.4536845919856276,0.3960182943233791
Baseline,None,Logistic Regression,44,In-domain Test,5,5224,0.5514171166519476,0.5250765696784073
Baseline,None,Logistic Regression,44,In-domain Test,6,7017,0.6521701308436351,0.6200655550805187
Baseline,None,Logistic Regression,44,In-domain Test,7,10273,0.7536053996720635,0.7266621240144067
Baseline,None,Logistic Regression,44,In-domain Test,8,9152,0.8452966015955264,0.7994973776223776
Baseline,None,Logistic Regression,44,In-domain Test,9,667,0.9110284051795056,0.8875562218890555
Baseline,None,Logistic Regression,44,Shifted Test,0,67747,0.023624626455957233,0.018952868761716386
Baseline,None,Logistic Regression,44,Shifted Test,1,12613,0.14830291295724035,0.14730833267263935
Baseline,None,Logistic Regression,44,Shifted Test,2,12390,0.2504034985870099,0.25940274414850684
Baseline,None,Logistic Regression,44,Shifted Test,3,14134,0.3515961297869564,0.3509268430734399
Baseline,None,Logistic Regression,44,Shifted Test,4,18486,0.45293001559735585,0.4197230336470843
Baseline,None,Logistic Regression,44,Shifted Test,5,24690,0.551710847535564,0.5420818144997975
Baseline,None,Logistic Regression,44,Shifted Test,6,31280,0.6521749752390262,0.6588235294117647
Baseline,None,Logistic Regression,44,Shifted Test,7,44155,0.7524249234200604,0.7482278337674103
Baseline,None,Logistic Regression,44,Shifted Test,8,39577,0.8450628287052377,0.816585390504586
Baseline,None,Logistic Regression,44,Shifted Test,9,3028,0.911027170786612,0.9204095112285336
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,0,16227,0.014159981903119677,0.014297159055894498
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,1,3434,0.14694806248878212,0.13657542224810718
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,2,2496,0.24774775156775156,0.23357371794871795
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,3,2073,0.3470719013878877,0.34105161601543654
