Model,Random Seed,Test Set,Feature Group Blanked,prevalence,mean_pred_clean,mean_pred_blanked,sd_pred_clean,sd_pred_blanked,share_gt0.5_clean,share_gt0.5_blanked,corr_clean_blanked,spearman_clean_blanked,Brier_clean,Brier_blanked,AUROC_clean,AUROC_blanked
Logistic Regression,44,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.48346763849258423,0.4656471014022827,0.31339263916015625,0.3071362376213074,0.569012547735952,0.5447618041990039,0.9972836365659747,0.9958741838549331,0.15695905685424805,0.1569162905216217,0.8436018131754758,0.842616393295349
Logistic Regression,44,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.4601440131664276,0.44728225469589233,0.315395325422287,0.3100205361843109,0.5323722491607609,0.5156993659082432,0.9981624690536987,0.9973018987203108,0.15092459321022034,0.1510448157787323,0.8549536542284344,0.8550406131877545
LightGBM,42,In-domain Test,Disability,0.45615331819861676,0.47632285952568054,0.4953595995903015,0.3610556423664093,0.359151154756546,0.5303486264364782,0.5583126550868487,0.9749688725085973,0.981804347214092,0.12345018237829208,0.13123519718647003,0.9040791641747993,0.8946372483014354
LightGBM,42,Shifted Test,Disability,0.45210742260350617,0.45452064275741577,0.47770601511001587,0.36173704266548157,0.361407995223999,0.503935098843715,0.5393584483401715,0.9696968923234627,0.9784805792899761,0.1193416640162468,0.12753643095493317,0.9108665045368295,0.9002179382435944
LightGBM,43,In-domain Test,Disability,0.45615331819861676,0.47592100501060486,0.4954483211040497,0.35980674624443054,0.3581392467021942,0.5305422100205902,0.5600197103285641,0.9743151299273131,0.9807774865182323,0.12282264977693558,0.13118387758731842,0.9046449041764694,0.8942233436623478
LightGBM,43,Shifted Test,Disability,0.45210742260350617,0.455211341381073,0.47790271043777466,0.3611324727535248,0.36101725697517395,0.5054457292055203,0.5403729951510631,0.9709930028174508,0.9787663979116101,0.11940458416938782,0.12747138738632202,0.9107954432389646,0.9003441973826345
LightGBM,44,In-domain Test,Disability,0.45615331819861676,0.4768247604370117,0.496236115694046,0.36110493540763855,0.3591628968715668,0.5317389085405557,0.5602132939126762,0.9747817944489344,0.9812264330105389,0.12431919574737549,0.13216163218021393,0.9023195906855901,0.8927853309069838
LightGBM,44,Shifted Test,Disability,0.45210742260350617,0.4541684091091156,0.47736087441444397,0.36142316460609436,0.36095672845840454,0.5045132413278627,0.5398396120850429,0.9702145685726161,0.9788610493211036,0.11943499743938446,0.12754251062870026,0.9106387599724654,0.9000228460308899
Logistic Regression,42,In-domain Test,Disability,0.45615331819861676,0.4822918176651001,0.5110052824020386,0.31306180357933044,0.30052492022514343,0.5653520581454693,0.6061102018548827,0.9617931162230476,0.9725612106480597,0.1561613827943802,0.16562330722808838,0.845116723005837,0.8332726346437258
Logistic Regression,42,Shifted Test,Disability,0.45210742260350617,0.46065542101860046,0.4936009645462036,0.31558021903038025,0.3043200373649597,0.532875792614696,0.5818500559492726,0.9574099040630022,0.9691154628572741,0.15067017078399658,0.15960489213466644,0.8552542349191907,0.8435277916439377
Logistic Regression,43,In-domain Test,Disability,0.45615331819861676,0.4826151728630066,0.511553168296814,0.31242382526397705,0.300048291683197,0.5669887193565986,0.6089963571089172,0.9614944025343453,0.971658908074981,0.15613578259944916,0.16599489748477936,0.844153065141504,0.8319380811943226
Logistic Regression,43,Shifted Test,Disability,0.45210742260350617,0.46126827597618103,0.49379709362983704,0.3150257170200348,0.3038851022720337,0.5329690414024618,0.5815255501678478,0.9584279223452752,0.9695886621815293,0.15079167485237122,0.15969865024089813,0.855157541446641,0.8434513737900142
Logistic Regression,44,In-domain Test,Disability,0.45615331819861676,0.48346763849258423,0.5124960541725159,0.31339263916015625,0.30101001262664795,0.569012547735952,0.6111961705647361,0.9609105136180877,0.9712660452498236,0.15695905685424805,0.1662757247686386,0.8436018131754758,0.8325471192616641
Logistic Regression,44,Shifted Test,Disability,0.45210742260350617,0.4601440131664276,0.4932994842529297,0.315395325422287,0.3040619492530823,0.5323722491607609,0.5817381574039537,0.9569905414622595,0.968800736916275,0.15092459321022034,0.1598597764968872,0.8549536542284344,0.8431322800650883
