Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Baseline,None,Logistic Regression,44,In-domain Test,0.027314334998445756,0.0009566699690558761,0.09147387277539008,0.24807746849500822,0.4834676531970625,0.45615331819861676,0.15695904242580572,0.24807746865637376,0.4561660211712442,0.2335145979620928,0.011738204600249899,0.31339263916015625
Baseline,None,Logistic Regression,44,Shifted Test,0.010631697953018824,0.00022266769207805815,0.09637015919709771,0.24770630103032082,0.46014399072520573,0.45210742260350617,0.15092459191804738,0.2477227732526549,0.4561660211712442,0.25269302499067514,0.011294293174188735,0.315395325422287
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,0.017689857277175737,0.0005566242759052544,0.12273843556967316,0.24807746849500822,0.47376482784690715,0.45615331819861676,0.12521680951536254,0.24807746865637376,0.4561660211712442,0.28557098358059235,0.12014501170300758,0.36106762290000916
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,0.01174068675622035,0.00020620524335118487,0.1259115288748256,0.24770630103032082,0.4532795944860634,0.45210742260350617,0.12104813866165594,0.2477227732526549,0.4561660211712442,0.3082170831779187,0.11553524804177545,0.3625166416168213
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,0.0156846475052687,0.00037266175637151885,0.1229530122213989,0.24807746849500822,0.4718379657038855,0.45615331819861676,0.12481811666643226,0.24807746865637376,0.4561660211712442,0.2841103074459286,0.11921229079774036,0.35941165685653687
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,0.011080411973613874,0.0001952407247063568,0.12582655036639737,0.24770630103032082,0.452972760085118,0.45210742260350617,0.12113667092519988,0.2477227732526549,0.4561660211712442,0.30540842969041404,0.11675121223424095,0.3615770936012268
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,0.019232280744254503,0.0006196931777806625,0.12172512854672897,0.24807746849500822,0.47538559894287125,0.45615331819861676,0.12618164756768255,0.24807746865637376,0.4561660211712442,0.2854477940270665,0.12454463861464547,0.36099547147750854
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,0.011731203905006312,0.00020426771510219472,0.126010128825052,0.24770630103032082,0.45371256475723687,0.45210742260350617,0.12102778609744594,0.2477227732526549,0.4561660211712442,0.3069638194703469,0.11854158895934352,0.3621658682823181
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,0.011545483268164491,0.00028986312334165553,0.09183006205886342,0.24807746849500822,0.46361088396074207,0.45615331819861676,0.15595315952066166,0.24807746865637376,0.4561660211712442,0.23648874575436002,0.004118050789293068,0.3064393103122711
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,0.011639382467216032,0.0001953713677122688,0.09651065874540127,0.24770630103032082,0.44722163904497225,0.45210742260350617,0.15078038078985626,0.2477227732526549,0.4561660211712442,0.2550615441999254,0.00504662439388288,0.3099754750728607
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,0.011570551137813035,0.000285811996720245,0.09174471154143451,0.24807746849500822,0.4636065508218709,0.45615331819861676,0.15603063866535208,0.24807746865637376,0.4561660211712442,0.23710469352198935,0.003959664220474104,0.3058072328567505
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,0.01179863472231457,0.00018410178666943426,0.09632923901096943,0.24770630103032082,0.4474946855333219,0.45210742260350617,0.15089809382032304,0.2477227732526549,0.4561660211712442,0.2546549794852667,0.00505781424841477,0.30930569767951965
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,0.015235281298167355,0.00034940858019501464,0.09099654579290356,0.24807746849500822,0.4656470880748268,0.45615331819861676,0.15691628811298614,0.24807746865637376,0.4561660211712442,0.2378790278584376,0.0038540731745947943,0.3071362376213074
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,0.011434471042558594,0.000181217502175324,0.0961978924344385,0.24770630103032082,0.4472822584472993,0.45210742260350617,0.1510448030615199,0.2477227732526549,0.4561660211712442,0.25596792241700855,0.004863856769861992,0.3100205361843109
Feature Shift,Disability,LightGBM,42,In-domain Test,0.03920626614196113,0.0023258280706003227,0.11856449283600984,0.24807746849500822,0.49535958434057786,0.45615331819861676,0.13123519208131473,0.24807746865637376,0.4561660211712442,0.26431198634355807,0.13350227900674022,0.359151154756546
Feature Shift,Disability,LightGBM,42,Shifted Test,0.027327064292312804,0.0014134193680844453,0.12068521404032793,0.24770630103032082,0.47770604496468694,0.45210742260350617,0.12753641706577257,0.2477227732526549,0.4561660211712442,0.28415516598284224,0.12834390152928013,0.361407995223999
Feature Shift,Disability,LightGBM,43,In-domain Test,0.039294988411668466,0.0022590652319365314,0.11856685781883478,0.24807746849500822,0.4954483066102852,0.45615331819861676,0.13118388382963997,0.24807746865637376,0.4561660211712442,0.262745719163015,0.1348221670802316,0.3581392467021942
