,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Feature Shift,Medications,LightGBM,In-domain Test,0.2938184299904278,0.017117893246654692,0.09543339975688486,0.009757819075526232,0.004379862744899407,0.0005319669294328154,0.10161288129477837,0.0011142144749889294,0.4086097506017568,0.018562859273834786,0.114791320611329,0.001445006327511009,0.1927880589920856,0.010977961489041121,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.011236779770106384,0.0029903012534013697,9.34623168352881e-05,0.00010705523223840152,0.15695531169573465,0.002851004104805855
Feature Shift,Medications,LightGBM,Shifted Test,0.30152471191353025,0.011811897431577663,0.10075287146297114,0.006833426120681219,0.00346191233671544,0.00016404683490263387,0.0932746213237839,0.0,0.4056118562506629,0.011765097382520592,0.10411443739861377,0.0,0.1907347276344873,0.006664250129635909,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.012436710416359437,0.003534176762133155,0.0003932556653394288,0.00037112689550561616,0.15130594869454703,0.0023763067596948777
Feature Shift,Medications,Logistic Regression,In-domain Test,0.5486688465374163,0.016429047101197115,0.3129701455608486,0.018076607003597825,0.0026904293691255676,0.00037673747976429603,0.10161288129477837,0.0011142144749889294,0.6634601671487453,0.01768356624758972,0.114791320611329,0.001445006327511009,0.41195150157549554,0.01902448631120338,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.002223085008797133,0.0008852775601091548,0.031450713917939015,0.007318355703351409,0.14999171594778696,0.002374009316540614
Feature Shift,Medications,Logistic Regression,Shifted Test,0.5567589327048389,0.021854464106777095,0.3219724022188182,0.02381546668631729,0.002175567308309782,6.443793378834546e-05,0.0932746213237839,0.0,0.6608488783569941,0.02186800549106041,0.10411443739861377,0.0,0.413479652492446,0.023882614647031182,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.0015238657031902865,0.0010358013815909884,0.024185223418374868,0.006237512456144107,0.14335560301939645,0.004168407462654537
Label Noise,0% Noise,LightGBM,In-domain Test,0.32832494508555804,0.00298505153497716,0.1157606992238296,0.0012932487783484177,0.004638627706436169,0.0005382214143340899,0.10161288129477837,0.0011142144749889294,0.44311626569688706,0.00284860685061535,0.114791320611329,0.001445006327511009,0.21282007613195916,0.001638420158436777,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.008190779884330179,0.002949752227382388,9.358742499458413e-05,4.034534746748979e-05,0.15161922574043274,0.003487786724604048
Label Noise,0% Noise,LightGBM,Shifted Test,0.3401549111214666,0.005890329428666681,0.12458421595959952,0.0036085057999370143,0.0036973438280410143,3.460068701544823e-05,0.0932746213237839,0.0,0.44423327846589483,0.005880195130781726,0.10411443739861377,0.0,0.214363183723452,0.003411205939037694,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.00948729292631372,0.0036611210109355414,0.0005407265398417147,0.0005179006907954942,0.14677436153093973,0.004054443647214472
Label Noise,0% Noise,Logistic Regression,In-domain Test,0.33793874733014917,0.0023219940166704866,0.1270783512732242,0.001679288360983444,0.0030416345714490735,0.0003762897426922007,0.10161288129477837,0.0011142144749889294,0.45273006794147813,0.0029476892412320685,0.114791320611329,0.001445006327511009,0.22614222919191954,0.00255002942164844,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.013152991392123775,0.0016458373696791712,0.005523018771596813,0.0010808533478572913,0.16303469240665436,0.002670182951311099
Label Noise,0% Noise,Logistic Regression,Shifted Test,0.3457452158449536,0.008121038209889539,0.13244289389059322,0.005556946203701458,0.002409594352136409,0.0001507637908567947,0.0932746213237839,0.0,0.4495230564310669,0.008169165275811454,0.10411443739861377,0.0,0.2235818236084176,0.00553632384181889,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.009339822051811433,0.0014771645481312212,0.0045715971095708595,0.00039017125955826423,0.15659556786219278,0.0014065255566349198
Label Noise,10% Noise,LightGBM,In-domain Test,0.36633530721445123,0.0011124155329726682,0.1353111964088175,0.0006433408998911296,0.003740997378759318,0.00020011963376990007,0.10161288129477837,0.0011142144749889294,0.48112662782578025,0.0011330855903912392,0.114791320611329,0.001445006327511009,0.2328862386332192,0.0008360978348422848,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,7.008690776562938e-05,0.00012139408519546377,0.0,0.0,0.08511850982904434,0.0012647516998826735
Label Noise,10% Noise,LightGBM,Shifted Test,0.3951758414082797,0.022569109052926275,0.15943027322224412,0.020813110294232315,0.00274773476679464,0.00034572611314391663,0.0932746213237839,0.0,0.49927275659422055,0.02253876068012739,0.10411443739861377,0.0,0.24996238152690362,0.021530133525243664,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.0,0.0,9.83139163348572e-05,0.00017028469818304844,0.09499140083789825,0.022028564575389445
Label Noise,10% Noise,Logistic Regression,In-domain Test,0.3688394984777325,0.0007680727071226404,0.14043045733063295,0.0004864541100983052,0.002216365818042174,5.081568474682778e-05,0.10161288129477837,0.0011142144749889294,0.4836308190890614,0.0014282849776815433,0.114791320611329,0.001445006327511009,0.23997727495818777,0.001454238657086877,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.0011933921806710909,0.00031952731323905184,0.0008419901393600626,0.0003630524714075517,0.10790284474690755,0.0022380057007772318
