Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Baseline,None,0.0,None,0.0,None,LightGBM,43,In-domain Test,0.66489040245203,0.21026593715645064,0.2126215987159103
Baseline,None,0.0,None,0.0,None,LightGBM,43,Shifted Test,0.6608511407220883,0.20303904048212035,0.21061559932316853
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,43,In-domain Test,0.6216361940752239,0.18933755166450017,0.22632099550644724
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,43,Shifted Test,0.6240543722822602,0.17956501420259235,0.21901900736972826
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,In-domain Test,0.66489040245203,0.21026593715645064,0.2126215987159103
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,Shifted Test,0.6608511407220883,0.20303904048212035,0.21061559932316853
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,In-domain Test,0.6197280161388231,0.18767034752159487,0.2346655480567272
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,Shifted Test,0.6287380361160657,0.1832182922684314,0.22800125250270173
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,In-domain Test,0.6548815100144065,0.21162604752205522,0.22555622215868779
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,Shifted Test,0.6577120274192985,0.20663079505004986,0.22522980555762764
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,43,In-domain Test,0.6105615093979798,0.1821722572620379,0.24020741729067666
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,43,Shifted Test,0.6190941838911621,0.17424873338743407,0.24706171145294686
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,43,In-domain Test,0.6430562053587231,0.21085666950423543,0.2329977886454188
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,43,Shifted Test,0.6466371722682708,0.1950529730919561,0.23746333242071324
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,43,In-domain Test,0.5865078147743529,0.16466630115846737,0.24579224616032455
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,43,Shifted Test,0.5994730645029669,0.16458623520069288,0.258468017577473
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,43,In-domain Test,0.6245953555614576,0.19298102818746105,0.24092429902281767
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,43,Shifted Test,0.6240878303547488,0.1759553178489632,0.23929374351264515
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,43,In-domain Test,0.6216361940752239,0.18933755166450017,0.22632099550644724
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,43,Shifted Test,0.6240543722822602,0.17956501420259235,0.21901900736972826
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,43,In-domain Test,0.66489040245203,0.21026593715645064,0.2126215987159103
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,43,Shifted Test,0.6608511407220883,0.20303904048212035,0.21061559932316853
Missingness,MCAR,0.0,MCAR,0.1,None,Logistic Regression,43,In-domain Test,0.6213655923584271,0.18986550145328096,0.22731903667922135
Missingness,MCAR,0.0,MCAR,0.1,None,Logistic Regression,43,Shifted Test,0.6236995068723115,0.18026752660974976,0.21734742761643225
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,43,In-domain Test,0.6607520358336582,0.2090677346043974,0.21193163603544088
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,43,Shifted Test,0.6644187971414915,0.2024290598979941,0.19144752843161483
Missingness,MCAR,0.0,MCAR,0.2,None,Logistic Regression,43,In-domain Test,0.6221829357180059,0.19023342111242555,0.22466937435724152
Missingness,MCAR,0.0,MCAR,0.2,None,Logistic Regression,43,Shifted Test,0.6197766353070099,0.17923020669190914,0.21471996417148395
Missingness,MCAR,0.0,MCAR,0.2,None,LightGBM,43,In-domain Test,0.6621101973601042,0.21084874860992675,0.2097184090989984
Missingness,MCAR,0.0,MCAR,0.2,None,LightGBM,43,Shifted Test,0.6565518366966274,0.20551573394052555,0.20499014399262602
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,43,In-domain Test,0.6216361940752239,0.18933755166450017,0.22632099550644724
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,43,Shifted Test,0.6240543722822602,0.17956501420259235,0.21901900736972826
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,LightGBM,43,In-domain Test,0.66489040245203,0.21026593715645064,0.2126215987159103
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,LightGBM,43,Shifted Test,0.6608511407220883,0.20303904048212035,0.21061559932316853
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,Logistic Regression,43,In-domain Test,0.6223433993094576,0.18977757631059672,0.2267047778569593
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,Logistic Regression,43,Shifted Test,0.6234334743934996,0.1801330365918828,0.21828397434316474
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,LightGBM,43,In-domain Test,0.665870424686736,0.21398786700897227,0.21198712529571162
