Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,0.5207313759265492,0.27282193500631374,0.00311397240582861,0.10248151932946344,0.6366500295029867,0.11591865357643759,0.37196005217060235,0.10250046154094353,0.1115663884788045,0.0,0.012622720897615708,0.09349643439054489
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,0.5392131991744868,0.29223039689902347,0.0022978175342605075,0.0932746213237839,0.6432192817367718,0.10411443739861377,0.383499439875078,0.09333015289868547,0.1115663884788045,0.0,0.009290665093644006,0.08766970783472061
Feature Shift,Medications,LightGBM,42,In-domain Test,0.27455505757674514,0.08440592761398988,0.004657331052997595,0.1003566286610174,0.3877174025598342,0.11316234498308907,0.18027704901896946,0.10036071364647352,0.11114121028789863,0.012049041713641488,0.0,0.1599740982055664
Feature Shift,Medications,LightGBM,42,Shifted Test,0.29310975947659457,0.0963267638213749,0.003440583428678548,0.0932746213237839,0.3972241968752083,0.10411443739861377,0.18639951898205798,0.09332399686102151,0.11114121028789863,0.010322961215160006,0.000737354372511429,0.1538926064968109
Feature Shift,Medications,LightGBM,43,In-domain Test,0.29961421582803444,0.09894434359897852,0.0037665263178774324,0.10200049589385426,0.4149071791024948,0.11529296327446033,0.19727675596861216,0.10201381262937234,0.11164375301495418,0.013737033922063359,0.00021026072329688813,0.15658320486545563
Feature Shift,Medications,LightGBM,43,Shifted Test,0.29643636366360404,0.09730881551768195,0.003309573194751965,0.0932746213237839,0.4005508010622178,0.10411443739861377,0.1873962712776656,0.09333131191743436,0.11164375301495418,0.01651673794425601,0.0,0.1508055478334427
Feature Shift,Medications,LightGBM,44,In-domain Test,0.3072860165665038,0.10294992805768617,0.004715730863823194,0.10248151932946344,0.42320467014294144,0.11591865357643759,0.20081037198867516,0.10250046154094353,0.1115663884788045,0.007924263674614306,7.012622720897616e-05,0.15430863201618195
Feature Shift,Medications,LightGBM,44,Shifted Test,0.31502801260039215,0.10862303504985663,0.003635580386715807,0.0932746213237839,0.4190605708145626,0.10411443739861377,0.19840839264373827,0.09333015289868547,0.1115663884788045,0.010470432089662291,0.0004424126235068574,0.14921969175338745
Feature Shift,Medications,Logistic Regression,42,In-domain Test,0.5349043457362782,0.2973115667851076,0.002984570918561376,0.1003566286610174,0.6480666907193673,0.11316234498308907,0.3948669034588636,0.10036071364647352,0.11114121028789863,0.0019024802705749717,0.025014092446448703,0.14974777400493622
Feature Shift,Medications,Logistic Regression,42,Shifted Test,0.5400581826461248,0.3038448645867093,0.002186256368877248,0.0932746213237839,0.6441726200447385,0.10411443739861377,0.3952510964129094,0.09332399686102151,0.11114121028789863,0.0016221796195251437,0.01902374281079487,0.14623335003852844
Feature Shift,Medications,Logistic Regression,43,In-domain Test,0.5442454577731723,0.3088465941229799,0.0022657947453012285,0.10200049589385426,0.6595384210476326,0.11529296327446033,0.4085347680726029,0.10201381262937234,0.11164375301495418,0.0032239977572189513,0.029927109615923746,0.15247827768325806
