Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,Logistic Regression,43,In-domain Test,7,701,0.7436490315683558,0.2268188302425107
Baseline,None,Logistic Regression,43,In-domain Test,8,256,0.8414135796483606,0.25390625
Baseline,None,Logistic Regression,43,In-domain Test,9,74,0.9383001134202287,0.47297297297297297
Baseline,None,Logistic Regression,43,Shifted Test,0,64,0.061234414592036046,0.09375
Baseline,None,Logistic Regression,43,Shifted Test,1,305,0.15880629891743425,0.06229508196721312
Baseline,None,Logistic Regression,43,Shifted Test,2,842,0.25838678689439054,0.06532066508313539
Baseline,None,Logistic Regression,43,Shifted Test,3,1623,0.3534171369365168,0.07578558225508318
Baseline,None,Logistic Regression,43,Shifted Test,4,1655,0.4492478140891499,0.08700906344410876
Baseline,None,Logistic Regression,43,Shifted Test,5,1220,0.5461311727762223,0.12704918032786885
Baseline,None,Logistic Regression,43,Shifted Test,6,665,0.6448129784791989,0.16390977443609023
Baseline,None,Logistic Regression,43,Shifted Test,7,287,0.7417347217270721,0.21951219512195122
Baseline,None,Logistic Regression,43,Shifted Test,8,87,0.8427713575034306,0.19540229885057472
Baseline,None,Logistic Regression,43,Shifted Test,9,33,0.9479433803847341,0.45454545454545453
Baseline,None,Logistic Regression,44,In-domain Test,0,180,0.06744146125598086,0.03333333333333333
Baseline,None,Logistic Regression,44,In-domain Test,1,605,0.15471391948786647,0.07107438016528926
Baseline,None,Logistic Regression,44,In-domain Test,2,1556,0.2577409402474493,0.06555269922879177
Baseline,None,Logistic Regression,44,In-domain Test,3,3087,0.35392876435222076,0.07936507936507936
Baseline,None,Logistic Regression,44,In-domain Test,4,3447,0.44916830254458745,0.10385842761821874
Baseline,None,Logistic Regression,44,In-domain Test,5,2725,0.5467124240114054,0.1324770642201835
Baseline,None,Logistic Regression,44,In-domain Test,6,1575,0.6453226787703378,0.16507936507936508
Baseline,None,Logistic Regression,44,In-domain Test,7,740,0.7438018950256141,0.2
Baseline,None,Logistic Regression,44,In-domain Test,8,249,0.8427096909308529,0.3293172690763052
Baseline,None,Logistic Regression,44,In-domain Test,9,96,0.940803112462163,0.5
Baseline,None,Logistic Regression,44,Shifted Test,0,53,0.06900571675022256,0.09433962264150944
Baseline,None,Logistic Regression,44,Shifted Test,1,242,0.15909327191015907,0.07851239669421488
Baseline,None,Logistic Regression,44,Shifted Test,2,749,0.258551757509145,0.05874499332443257
Baseline,None,Logistic Regression,44,Shifted Test,3,1424,0.35329401539115424,0.07162921348314606
Baseline,None,Logistic Regression,44,Shifted Test,4,1727,0.4496560324874308,0.08164447017950202
Baseline,None,Logistic Regression,44,Shifted Test,5,1372,0.5457892411825608,0.11734693877551021
Baseline,None,Logistic Regression,44,Shifted Test,6,758,0.6456874455657043,0.17810026385224276
Baseline,None,Logistic Regression,44,Shifted Test,7,310,0.7381440322245321,0.18387096774193548
Baseline,None,Logistic Regression,44,Shifted Test,8,114,0.8387996371377978,0.22807017543859648
Baseline,None,Logistic Regression,44,Shifted Test,9,32,0.94848851300776,0.5
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,0,110,0.08478135510601781,0.0
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,1,181,0.1594311698694914,0.027624309392265192
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,2,1567,0.25893763596835073,0.048500319081046586
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,3,3169,0.3541081289023998,0.06248027769012307
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,4,3909,0.44855919121994514,0.08800204655922231
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,5,3518,0.5483298544656017,0.14951677089255258
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,6,1207,0.6388797853342639,0.22452361226180614
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,7,438,0.741551266821552,0.3264840182648402
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,8,93,0.8351190468316437,0.46236559139784944
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,9,0,,
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,0,36,0.08344807113624281,0.0
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,1,102,0.1355689153367398,0.00980392156862745
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,2,678,0.2562357680459993,0.05457227138643068
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,3,1384,0.3573534744495601,0.05852601156069364
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,4,1815,0.44692360215279026,0.08705234159779614
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,5,1858,0.5492137957632991,0.12055974165769645
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,6,703,0.6380718271559367,0.20483641536273114
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,7,167,0.7453303779670578,0.2634730538922156
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,8,32,0.8383972365409136,0.40625
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,9,6,0.9026846786340078,0.6666666666666666
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,0,135,0.06767533733337014,0.0
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,1,519,0.1694146451290862,0.04816955684007707
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,2,2760,0.25720359705712487,0.0644927536231884
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,3,3858,0.34998041110962025,0.0842405391394505
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,4,2955,0.4477654872912844,0.12419627749576988
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,5,2381,0.5468456819747386,0.14909701805963882
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,6,1162,0.6415747758033148,0.2082616179001721
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,7,401,0.7459266600466131,0.2718204488778055
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,8,97,0.8229096716212243,0.4536082474226804
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,9,0,,
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,0,94,0.07104455818362693,0.0
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,1,226,0.16715567664498776,0.030973451327433628
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,2,1326,0.2577885459788245,0.058823529411764705
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,3,1849,0.34930568321000055,0.08274743104380747
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,4,1381,0.44935431752750443,0.08834178131788559
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,5,1121,0.5480737713806125,0.15789473684210525
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,6,613,0.6374188929942071,0.19738988580750408
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,7,133,0.7371239729393694,0.23308270676691728
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,8,38,0.8241167523358998,0.4473684210526316
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,9,0,,
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,0,69,0.09007567863749422,0.0
