Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,LightGBM,In-domain Test,0.6741699599748165,0.007997563889866105,0.22371305209481776,0.009121465405483623,0.21274374977485944,0.0013735378308502115,3
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,LightGBM,Shifted Test,0.6610578735277088,0.0020030436618936427,0.20462312072679192,0.003536298575563979,0.21492306254354565,0.0038286060493912736,3
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006729032108383566,0.009284848231056202,-0.01581225511205711,0.005588984605504272,-0.00304464540061967,0.004662298279055908,3
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,Logistic Regression,In-domain Test,0.6304720616766151,0.008168640891326824,0.19734761072938053,0.007095311369201576,0.2266388652832706,0.0025890516141301866,3
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,Logistic Regression,Shifted Test,0.6237430295682315,0.002225024719370154,0.1815353556173234,0.0016177000746398337,0.22359421988265094,0.005161743644832922,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.010796120124804798,0.008295471642646676,-0.01701565170957429,0.01264767789721974,0.0029347916748519165,0.008051594897248633,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,In-domain Test,0.673784536092971,0.009680912783053733,0.2216877124265536,0.01075194009060592,0.21279361550542486,0.0019161312133245342,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,Shifted Test,0.6629884159681662,0.0036908345773136717,0.20467206071697933,0.003002243902462284,0.21572840718027678,0.0072489815637793486,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.008445422930888421,0.008622137683900702,-0.016783436971651255,0.005128061715951713,-0.003353573349408029,0.004037423828318031,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,In-domain Test,0.6313366511646828,0.007124390938481908,0.19789170090189745,0.006832681794370309,0.22709467387184934,0.0024869592185504993,3
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,Shifted Test,0.6228912282337945,0.002585225725327451,0.18110826393024618,0.0019000555259769702,0.2237411005224413,0.004585863901966683,3
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013988770201758335,0.011246250662483564,-0.017220876750406688,0.008904297636348764,0.0015431075913631132,0.0040776897935114525,3
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,In-domain Test,0.6744943718058806,0.009477718702504696,0.2237086482145476,0.01202658416107683,0.2128200762171677,0.001638420191009941,3
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,Shifted Test,0.6605056016041223,0.002699693719604699,0.2064877714641409,0.0031269486618776946,0.2143631838085308,0.003411205943379852,3
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006870790180253532,0.010182356453679197,-0.015810627231688617,0.005866714667857995,-0.0025604056194885316,0.004317073778956794,3
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,In-domain Test,0.6306687671520842,0.00906049491688532,0.19765189029340688,0.007583690615795764,0.2261422292194735,0.00255002938324047,3
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,Shifted Test,0.6237979769718307,0.0016851484809843656,0.18184126306171824,0.0019909920800465514,0.223581823599985,0.0055363239099446996,3
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.014432084013184632,0.016413829903427844,-0.021046264800930924,0.012641525222448697,-0.004075244104071858,0.01465643562453796,3
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,In-domain Test,0.672710916827743,0.011525799706084316,0.22311312451811394,0.01228629825260157,0.21209532741070106,0.002058375521186744,3
