Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,In-domain Test,0.8675253342331355,0.000986702447279548,0.7972168837823516,0.0011632282533470745,0.17919118792376906,0.000765136066860763,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,Shifted Test,0.8785237351872187,5.997929665065159e-05,0.8150006178477036,7.165805908989896e-05,0.16918525746259835,9.101332450937548e-05,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,Generalization Gap (Shifted - In-domain),0.00636644788376924,0.0010947184223461684,0.01159599396505732,0.0010270338881690855,-0.003779236267970739,0.0005596673097206414,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,In-domain Test,0.8935566967708196,0.0011816023559194887,0.8481001365853373,0.0012735722076369145,0.1309110629150352,0.0006309502026895231,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,Shifted Test,0.899923144654589,8.898389673738335e-05,0.8596961305503946,0.00026421135726126623,0.12713182664706446,0.00026481096536082273,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010080092912397013,0.0011017532699581635,0.016299817812156208,0.0014509927346713085,-0.007509565708259031,0.000618719814446205,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,In-domain Test,0.8591991847848884,0.0011018115719069789,0.7879387232333146,0.0014096699313882377,0.16032587140115115,0.000849349949586686,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,Shifted Test,0.8692792776972854,4.8843741165485796e-05,0.8042385410454708,4.164710240684257e-05,0.1528163056928921,0.0003655235262421247,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,Generalization Gap (Shifted - In-domain),0.008850593230177154,0.0013554845219320491,0.015830331917519664,0.001532903170757692,-0.0049238232055635,0.0007059396506383706,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,In-domain Test,0.8965456711156069,0.0015727540261914262,0.8507476611593409,0.001831392825729048,0.12771525479502852,0.0007924437835397533,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,Shifted Test,0.905396264345784,0.0002620421926606114,0.8665779930768606,0.00035287745223833747,0.12279143158946502,0.00021189217057777734,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010497418537034934,0.0008395858987493902,0.01689741795468991,0.0010123920536063804,-0.006081496096162218,0.0004447230583323822,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,In-domain Test,0.8640392217653966,0.0009255008822435696,0.7885797189356039,0.0010596523541589302,0.14457364163539332,0.0004923911414162423,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,Shifted Test,0.8745366403024315,8.980935894752754e-05,0.8054771368902937,4.831988843446966e-05,0.1384921455392311,4.770488325488228e-05,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.0073698308265151375,0.0012888824176558239,0.013462137175023462,0.0011224019062806149,-0.004361181677594042,0.0008544179544839549,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,In-domain Test,0.9033384893095734,0.0013943611971672498,0.8615878455651768,0.0013313134539446616,0.12378574154618066,0.0009061074158731394,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Shifted Test,0.9107083201360885,0.00012489003346561464,0.8750499827402002,0.0002494274285136465,0.11942455986858662,7.404781197881642e-05,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010359285330720799,0.0007906803973608984,0.0161287627054499,0.0008790494444806578,-0.00608303635952856,0.0004371171506639736,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.8684676822215777,0.0008193396865586845,0.7994553365063507,0.0008560273694242903,0.14282013816023864,0.00047940786079857435,3
