Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,0.8784705346085131,0.8150222328071657,0.1691992026764439
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,0.8993565283475614,0.8560973769368274,0.12685622276884304
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,0.909041521321456,0.8721607014863948,0.12083152181984952
Baseline,None,0.0,None,0.0,None,LightGBM,42,Generalization Gap (Shifted - In-domain),0.007037726239615183,0.013427966962818005,-0.004321347547317653
Baseline,None,0.0,None,0.0,None,LightGBM,43,Generalization Gap (Shifted - In-domain),0.006279500298504104,0.01235721054470329,-0.0035273774928541585
Baseline,None,0.0,None,0.0,None,LightGBM,44,Generalization Gap (Shifted - In-domain),0.008792265941426125,0.014601234017549092,-0.005234819992610315
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009493776367524687,0.015114014499521544,-0.005752597021287331
Baseline,None,0.0,None,0.0,None,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010540353168372096,0.01661510148655687,-0.005917833895293045
Baseline,None,0.0,None,0.0,None,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.011043726456265612,0.01665717213027129,-0.0065786781620053025
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,42,Generalization Gap (Shifted - In-domain),0.00738447424550126,0.013837068519795381,-0.004868084170470396
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,43,Generalization Gap (Shifted - In-domain),0.007388791370439685,0.014496997630509156,-0.00438262819223674
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,44,Generalization Gap (Shifted - In-domain),0.00968499297389458,0.01606332454956738,-0.006024700948993517
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.00996381804837354,0.016361386297721325,-0.009583111265578037
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.011140027488682813,0.018472893065246798,-0.009564121389157049
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.011891357325193641,0.018516922833088034,-0.010870558728777041
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,42,Generalization Gap (Shifted - In-domain),0.005533219116649835,0.01082806333651365,-0.0034338474999176805
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,43,Generalization Gap (Shifted - In-domain),0.005959833386362301,0.011197328766407444,-0.003478900582395944
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,44,Generalization Gap (Shifted - In-domain),0.007606291148295585,0.012762589792250867,-0.004424960721598592
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.008810971185068794,0.014657890287227415,-0.006895548883346342
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010638117518110501,0.016831929677916024,-0.007500264600100753
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.010791190034011744,0.01740963347132518,-0.008132883641329997
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,42,Generalization Gap (Shifted - In-domain),0.008593069139794407,0.015204782714988485,-0.004902702175984666
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,43,Generalization Gap (Shifted - In-domain),0.007642343945442054,0.014709123158585968,-0.004228681079770091
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,44,Generalization Gap (Shifted - In-domain),0.010316366605295002,0.017577089878984542,-0.005640086360935742
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009706746650065878,0.015746745712638344,-0.005789390365664504
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010406922249449502,0.017294140767884603,-0.005861783626434802
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.011378586711589422,0.01765136738354678,-0.006593314296387348
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,Generalization Gap (Shifted - In-domain),0.007037726239615183,0.013427966962818005,-0.004321347547317653
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,Generalization Gap (Shifted - In-domain),0.006279500298504104,0.01235721054470329,-0.0035273774928541585
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,44,Generalization Gap (Shifted - In-domain),0.008792265941426125,0.014601234017549092,-0.005234819992610315
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009493776367524687,0.015114014499521544,-0.005752597021287331
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010540353168372096,0.01661510148655687,-0.005917833895293045
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.011043726456265612,0.01665717213027129,-0.0065786781620053025
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,42,Generalization Gap (Shifted - In-domain),0.007113578318094338,0.014091790906248347,-0.003948415888143902
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,43,Generalization Gap (Shifted - In-domain),0.005964719168822241,0.01247486854169122,-0.0033052227458311156
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,44,Generalization Gap (Shifted - In-domain),0.008756618234508795,0.014808555938490953,-0.004526366145868266
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009433677376696759,0.014399311138406645,-0.005562445402687577
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.01028356881045489,0.015841376747110503,-0.005605371575215845
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.010704640948110411,0.015618837475768643,-0.006060373262384067
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,42,Generalization Gap (Shifted - In-domain),0.0068549743627828175,0.013425331215369707,-0.003247434181410269
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,43,Generalization Gap (Shifted - In-domain),0.006202622544192238,0.01243356692885167,-0.0028897257891382366
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,44,Generalization Gap (Shifted - In-domain),0.008703895422795371,0.015391102311343219,-0.003735440248747557
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009099440959842386,0.013760376670338803,-0.0044804899388763975
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010371994285880759,0.016004976561750373,-0.004688115281134969
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.010587218643119956,0.0152508246600227,-0.004935254688441831
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,Generalization Gap (Shifted - In-domain),0.007248762151710442,0.014132698108766939,-0.004343129545423166
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,Generalization Gap (Shifted - In-domain),0.0060729276379107855,0.012393735444363285,-0.003459203154740645
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,44,Generalization Gap (Shifted - In-domain),0.008583221672326169,0.014827649119034336,-0.004802188122746659
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,Generalization Gap (Shifted - In-domain),0.009522371237547511,0.014655030071193509,-0.005861628626928794
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,Generalization Gap (Shifted - In-domain),0.010408991532528722,0.01608742551802167,-0.005925069196427296
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,44,Generalization Gap (Shifted - In-domain),0.010809029428169636,0.015941897477587452,-0.006424597405546795
